name,comment,positive_num,re_comment_num
Raja K Ghosh,"How does a human being  stop one stop huffing, puffing, crying, making sad faces on cue? The moment JD's team makes an objection AH stops. Because she's a sociopath who's acting throughout the trial and pretending to play the victim of SA and DV. It's bad acting but acting alright.",48,1
Maya Mbw,Thank you Ben and crew. I believe in you Johnny. Stay strong now ❤️💪🏻,47,0
Roberta Kuhl,"Careers ruined. Nurses having complaints filed with the board, psychologists having complaints filed against them with their board, and three lawyers who will forever be linked to this insane show. Their careers will basically be over. No respectful person would hire them. Amber gave them a 6 million dollar retainer and they have used up to or beyond it.  Justice for Johnny Depp. The final act needs to be perjury charges filed against Amber Heard. Notice her Dad didn’t show.",42,4
RHONDA BRIZAN,What bothers me is that they called the cops for absolutely no reason. These officers should be called only in serious incidents ... taxes payers money down the drain. 🤦‍♀️🤦‍♀️,38,5
Austin Freeman,"*Investing in crypto now should be in every wise individuals list, in some months time you'll be ecstatic with the decision you made today.💰*",34,21
ACE,"Whoever’s reading this, I pray that whatever your going through gets better and whatever your struggling with or worrying about is going to be fine and that everyone has a fantastic day",31,2
Natalie Zack,"Nice video!! Very engaging from beginning to end. Nevertheless, businesses and investment are the easiest way to make money. When it comes to the world of investing,most people don't know where to start.fortunately,great investors of the past and present can provide us with guidance",29,21
Smith,"I just thought of the perfect verdict!  Johnny wins, and Amber either owes him $50M OR she can pay off the remaining $7M pledges within 1 month.",28,11
Illustraful,I reckon the jury will return a verdict tomorrow. They've had six weeks of this and are probably desperate to return to normal life.,25,1
Jesus Piano,He has to win for himself and for us all rest of men. Enough about this unfair women thing. ME TOO I'm up to my balls of this,23,0
jhon pimentel,Desde Venezuela!! Apoyo total para Johnny Depp.  No creemos en las acusaciones falsas y sin fundamentos de la Amber Heard.  DESDE VENEZUELA APOYO TOTAL PARA JOHNNY DEPP,18,0
Margarita Diaz,A. H. ………Get prepared to hear the truth from all the lies you told the world. You and only you know all the lies you wanted us to believe. You put yourself in this position and now you must take responsibility for your actions. A. H. I hope justice would set J. D. free.,16,0
Slim Shady,Btw we aren't doing this for money but we just gonna counter the sue with 100 million in case theres 1 in 100 million chance we kinda win..,14,0
Pennsylvania Jack,If am one of the jury this case won’t take us 3 minutes to decide who is the abuser and the victim..,13,1
Gary Poole,"If I was Johnny I wouldn't care if I'd won or lost. The verdict of the jury is insignificant compared to the millions of people watching the same trial and the same evidence  he has shown everybody what he has had to live through and he's exposed amber 💩 vicious, cruel and nasty character  he has done what he set out to do and that was to clear his name with the public.the jury can't make an informed decision because they have not been able to see evidence from the past showing how she has set Johnny up from the beginning!!! God you Johnny Depp",13,2
MsAlestaa,Reading the names out loud: my hairs stood on end for a sec there. What a visceral reaction to realize the cruelty and audacity of this woman. Omg,12,0
debra wilson,Johnny is the victim . Amber is a liar.,12,0
Joy Walden,"Every time I hear AH ridiculous countersuit I think of Dr.Evil from Austin Power saying,"" One Hundred Billion Dollars "" 🤙😈😂😂",11,0
Zk Motivation,"Remember my dear friend: no matter who you were, whoever made you down, still you're unique, beautiful, and talented🌸 how dare someone can rule on you? You're the the king\queen of your own life& happiness. You matter! Get up, go forward, and start doing what you like. You're the best, if you believe ✨

 believe in you, love from a small Youtuber 🖤",11,0
Ava Dunn,because of amber it’s going to be more different for women to actually come forward against being assaulted 😖,11,2
Andy,I feel like you guys have released 10 different versions of this video😂 but I still watch all of them,11,1
Marjeta Hyka,I hope and I wish JD win this case💞,10,0
PEGASUS STATION,"I can’t see how any jury could believe Amber Heard.  Just looking at the overacting when she would constantly look at the jury with fake screwed up angst on her face and crying.  The interesting part about the crying is that all the newspapers report her as “crying” whilst giving evidence. An inspection of the video of her giving evidence shows absolutely no crying at all…no tears, not one. It’s all an act by a 3rd rate hack actress. A woman who is so possessed with her own hatred for the man who dared to leave her….a classic case of the guilty party pretending to be innocent whilst projecting their own guilt on to the innocent party. A money grabber who lies at every opportunity to get what she has decided she deserves.",10,0
nancy3853,"Johnny Depp should win but they left some important things out of closing!!!
Amber is a very malicious",9,0
Silvia Moar,Why there is NO complete closing arguments of Johnny’s team in this channel but only Amber’s teams is? This channel is VERY SUSPICIOUS,9,2
Devlin Hawkins,"Depp won this trial before it even started. Nonetheless, imagine how angry he must being hearing all of Heards lies and seeing the lawyers defending her",9,0
Eri4Ever,"If the jury doesn't see through Heard's outlandish lies and renders a verdict in favor of Depp, they will trivialize the pain and suffering of all real victims of domestic violence.",8,0
itsyourgirlpari🦋,Chileee amber is like a track marathon her face is just irritating I'm ready for this to be over,8,0
The PLAY Family,I truly think Amber would have killed Johnny with the same knife she gave him and would have said it was an accident. Im so glad Johnny left her. Shes crazy af.,8,0
Janet Wilson,Go Johnny Go!!!!!👊🏻👊🏻👊🏻👊🏻,8,0
Debbie Sanderson,"AH her friends which are no longer why they Rocky, Gosh her sister whitney all helped Amber set Johnny up big time. Video, text, recordings. Rocky , Gosh was there celebrating coming out of court house. They freeloader lived Rent free used Johnny took advantage of his kindness.",7,0
Michelle Jackson,Ambers a joke.,7,0
Covid19 is COMMUNISM,Amber heard gives freddy krueger nightmares 😳 💀 😬 😅 😕 😂 😳 💀 😬 😅 😕 😂 😳 💀 😬,6,0
Whattya think,"The psychologist (Dr. Curry) in court testimony provided one of the best clinical descriptions of Amber Heard and what it means to be Bat $hit Crazy and also inadvertently provided a new meaning for what ""Amber Alert"" means ... hilarious when on the last day of testimony the judge yells out in court ...Amber Alert ...💥 while Heard's lawyer was presenting his summation ...",6,1
Denny Crane,"i hadn’t really “heard” of AT before this trial, had heard of Johnny Depp obviously but wasn’t a huge fan… now definitely a big JD fan",6,0
I am milan,Depp will win. How could he not?,6,1
Martina Luisa Navarro,Long live Kong Depp,5,0
Amario Lucano,"If Amber Heard could go back to 05/27/2016, would she do what she did knowing the consequences ??!",4,1
Eve Blaul,"Iam a human that have a heart, non of her words or tears went to my heart,  and I know she is a liar, I get so sick of her 🤮🤢",4,0
Laura Netten,"Camille, Johnny and Ben radiate incredible energy, joie de vivre and the most important thing of all, all 3 act with the truth and that is the highest good.  A. Heard will never know true love and from true friends one always attracts who one is , with hers that would be none other than the devil 👹himself .  The truth of the Johnny Trio will prevail💋🥰💋🥰💋",4,0
zeynep gülsu,"Rottenborn ♥️♥️
he is the conscience of humanity",3,6
llFLeXyll,I hope johnny win !!!,3,0
Fatime Lushtaku,First,3,0
king aragorn,💜💜💜 justice for Amber 💜💜💜 - probably some fem c e l,3,0
shaimn Bol,اشرح لي صدري ويسر لي أمري واحلل عقدة من لساني يفقهوا قولي، بسم الله الفتّاح، اللهم لا سهل إلا ما جعلته سهلاً وأنت تجعل الحزن إذا شئت سهلاً يا أرحم الراحمين. اللهم افتح عليَّ فتوح عبادك العارفين، اللهم انقلني من حولي وقوتي وحفظي إلى حولك وقوتك وحفظك، اللهم اجعل لي من لدنك سلطاناً نصيراً.,3,6
Ebb Sidberry,She will get interviewed by @Gayleking and all the other Networks . They  say bad publicity is better then none,3,2
Donna G Palk,"Johnny did this for all other's falsely accused also. Amber should have to pay for lying. 
🙏Johnny🙏",3,0
Amber Hearsay,Amber Heard will be remembered as America's Most Hated Woman of the Year,3,0
Quest Giver,Amber will win! Sorry internet :(,3,1
jay Roberge,Amber manufactured the whole thing from day one in the Rum Diaries!!,3,0
The.TrollGubbe,JD already won,3,0
Sally-ann Beach,If I can’t be with him then it must be camille i feel she would care for him ❤️,3,1
PK Collins,Go on Johnny - Tell the truth and shame the devil!,3,0
Haya Tokuda,Why always rich and famous people want golddigger. I never understood,3,2
Tech Guy,Johnny choked at the last moments. He has failed,2,2
nancy3853,These replays why after spending so much time watching!!!,2,1
伊紹菲,Hold on they seriously brought alpacas??,2,2
Reda,CacAmber is a clown 🤡,2,0
Ragnikus,AH lawyers will only get clients who didn't see this trial. Lol,2,0
LEGENDARY ANT,The way this country is going its probably about the word defamation more then anything,2,0
derek,"Amber Heard was pretending to write something on a pad of paper,she literally wrote everything she said was true in the trial,so wrote nothing😂",2,0
sapphireblue222,The best thing about having this court case end is the fact that we will no longer have to listen to that shrew Camille.,2,0
Bob Abooey,"Reports are coming  in from Virginia that the staff of Johnny Depp was unable to awaken him this morning after a night of partying which included drugs and alcohol.

“Where is that box of cocaine and crushed Adderall“, asked one staff member in an effort to revive him.”Did Johnny already snort the whole box”, added the staffer frantically. 

Amber heard is in the process of organizing a vigil for her beloved Johnny Depp. “I forgive him for assaulting me with that bourbon bottle“, Amber said, holding back tears. “I just want him to be here so I can still fight with him“, she added.

Rest in peace Johnny Depp. You will be missed.",2,4
S K,Not only has Amber Heard committed actual malice she has done so much more with her hoax claims! Johnny is the victim! Amber was out for the money she wanted it all. Gold digger of the worst kind! She totally destroyed Johnny Depp life! Amber has stalked Johnny with her lies for over six years!,2,0
Sujatha R.,"AH lawyer: If you didn't breathe you are dead. If you breathe you are alive
Jhonny has to be blamed for this!!!!!",2,0
Liz Jones,"I'm so appalled that people are so blinded by bias that they cannot see through the lies and sneakiness of this man! He writes in the most abstract way with 3 exclamation marks or question marks or dots after his sentences, interspersed with certain words in capital letters....and still people are finding reasons to say those texts were not written by him. He also lied about the marks on his face being caused by Amber on their honeymoon when, in actual fact, they were present the day before in the Thailand photos. He tried embarrassingly to claim that the Thailand marks were due to side-lighting. It's cringeworthy. And what a convenient memory problem he has when confronted with evidence against him- didn't write those texts, forgot about asking for Ecstasy and coke, forgot about meeting with The Mail newspaper with Mr Waldman. Oh and, of course, how when a photo didn't portray him in a good light, it must have been photoshopped. And the texts must've been typed up last night by the lawyer. Come on guys, wake up! That's the paranoia of a controlling man and I just don't understand how people can't see that. Not to mention that words like ""c*m guzzler"" and other vile things he's said show a really nasty streak in this guy. Decent people don't repeatedly use that kind of language, even if they've got a horrible spouse. There's a difference between anger and misogynistic rage meted out to all around him that's been shown repeatedly in this case. He is a perfect example of manipulative, devious controller with a carefully crafted ""Nice guy"" persona. He's an entitled, demanding, rage-filled man and, coupled with an out of control drink and drug problem, it's a recipe for disaster. I agree that Amber is also manipulative and has been caught out in lies (and trust me, I do understand what it's like to be in a relationship with a personality-disordered individual), but the disproportionate amount of vitriol towards her is astonishing when evidence of his nastiness is right there too for all to see. She probably did trigger him and push his buttons but I still see no excuse for the hate-filled comments about her. ""F***ing her dead corpse"" is not part of the Monty Python sketch that he's flippantly attributed that text exchange to - that's his little gem that he added to that and it's disgusting no matter how you look at it.  Regardless of whether you like Amber or not, women all around the world, stop turning a blind eye to his sort of behaviour. Stop making excuses for it or you are complicit in perpetuating abusive behaviour towards women. Shame on you.",2,0
Godzilla man streb,You’re making me nervous……JD 4 Johnny❤️🤍💙,2,0
Katie Daniels,"It's so sad.  J Depp loved that poisonous woman so much. He saw the good in her, although I doubt there is much. He tried so hard to make their relationship work.  He blamed himself, took responsibility for her actions.  She just spit in face, literally and metaphorically.  Then punched him for good measure.",2,0
Jparcasm,Amber Heard seems like the type of girl that would call Johnny Depp after the lawsuit is over and see if he wants to get back together,2,0
David Brown,Depp is a wife beater.,2,3
Videos From around the world,She should go to jail for more than 5 years,2,0
Sir Knighter,People complain this case should be unimportant but it is a very important case woman aren’t always right and a lot of guys have been destroyed by lies in court this has been a win for men everywhere,2,1
Hunk Desu,There's all this talk of victim blaming Amber Heard but Johnny Depp is the actual victim here.,2,0
Neighborhood Watch,Too bad Sussman's trial isn't televised.,2,0
ジョニー・デップに夢中,Download today's broadcast of the issue,1,0
pas_2910,"JD... Give me a call before you date another woman... I truly understand that I can't leave you alone.
I help you for free.... A lot of experience in woman give a call",1,0
COMPOSER NAZGOUFFRAN,"💚🇲🇾❤️🤔
I DARE TO SAY THE VICTORY IS VERY CLEAR IN FRONT OF TEAM JONNY-D 🤔",1,0
Danovan,Go Johnny go she is a going down,1,0
TOBES,MISMATCH!,1,0
pas_2910,JD.. You cannot get married with those waman... Give me a call next... I'll help you for free,1,0
Mohammed Sharhan,New the Judge and only she is have the last word in this case 😎,1,2
Haj,When is the verdict?,1,4
pzzcc,When is the verdict?,1,1
Wanda Torres,"All I say is, thank you Johnny for making it possible for us to see for ourselves. You were lucky to get away from this crazed woman before she killed you in a violent outburst. After taking what you have worked so hard for...",1,0
Andy,"The most hilarious part of all of this is that Amber brought all of this upon herself with the Op-Ed, out of all of the facts of this trial like Amber buying her violent abusive husband a bladed weapon, the most damning part was that on the 21st May 2016 Heard claimed Depp assaulted her, various police officers swore that there was no marks on Heard's face, (she never see's Depp again) yet on the 27th May 2016 Heard appears at court with a shiner seeking a TRO.., now who gave her the shiner because it wasnt Depp?",1,0
dedi widiarso,"I won't be surprised if Depp won, got the money and donates it to ACLU and the kids hospital anonymously, he's that kind of a person. I think he just wants to clear his name so he and his family could resume their normal life.",1,1
carmen goff,"I have been watching the Main stream media coverage of this, for all those that have been following this trial and were  unaware of just how much power they have, how mucj a big role in our lives they play in shaping what society SHOULD think, feel, believe, your in for a big shock, the beginning of your awakening",1,0
Joiz,Ы,1,0
laurence sibley,"Thank God this rubbish is nearly over! Taken my YouTube thread up for far too long! Boring, boring and a waste of normal peoples time. Who cares about these over payed over dramatic weirdo’s.",1,1
Blake Cleveland,Team Johnny,1,0
Christone Feltzs,AMBER lies so She much got the devil yelling ''YOU LIE TOOO MUCH''!!,1,1
Marissa Berumen,So we’re just gonna let her get away with all the lies,1,0
jen,JD Will win this trial no matter what the outcome is. We love you JOHNY 🥰💖❤️ stay strong you are very a gold heated human being in this world.  Thank you for all who supported JD when he was struggling from AH feel sorry for AH,1,0
Vacker Blomma,I feel sorry for Amber Heard. I think she might bw telling the truth.,1,1
Deep Black,I didn’t like the angle Ben Chew took with the whole jack sparrow thing made it look like he’s everybody’s idol he should have just stuck to JD the man not the movie star,1,0
21 accounts Removed,"I mean, I love Depp, and I know he will win.  But the horrifically sad part about him is that his daughter, Lilly-rose, is an actress at 22 or 23. Means she never had to lift a finger and was born into fame. Shame, I'm going to have to boycott her for that. You need to earn fame, not walk into it like that. Regardless if she is top of the line, it's nearly impossible she wasn't given the opportunity based on her father's success.",1,0
TheBald1,Why didn't her side have the person that analyzed the photos try to prove that Johnny's photos were Photoshopped? Lol.. Because they were real photos,1,0
Elle Cee,Painting Johnny Depp as vindictive? That's laughable.,1,0
Iros Hensei,Rottenborn’s argument can be applied to  Johnny’s actions as being the victim too. What I’m saying is that Rottenborn’s arugment is weak and is the easy one either side could make. Pretty sure Amber’s team knows they’re screwed.,1,0
Megan S,Her lawyer (the guy) still had a MASSIVE point about victim blaming. Does it apply to Amber? I don’t know. Nobody knows. But I applaud her lawyer for that speech.,1,2
emsie76,Nation ? I’m in Spain. I’d say world wide.,1,0
Nuclear destruction soon ABAD BABAL,How is this case even relevant with all the important things going on in the world?,1,0
ALI SUROOR,"Disgusting and disgusting
And deservingly
He bypassed all of Johnny's ex-wife's lawyers
transcend
Explanation of what happened in the elevator
Focus on secondary issues instead of focusing on betrayal
Ago
Amber came out covered with a duvet and without shoes
Amber and her boyfriend head back in the elevator
They deliberately did not raise their faces
Because they knew there was a camera in the elevator
And why did Amber go to her man friend's room, and she is a married woman?
Is it right under American law?
For every married woman when she is bored or has marital problems
To turn to her neighbor man 
Then she is escorted from his house to her house during the absence of the man of the house?
What does this mean in the Jesuit custom, Lord, answer me?
only meaning
I'm Johnny's ex-wife, she would turn to all her male friends during every argument
The above questions for the lawyers assigned to defend Johnny's ex-wife?!


ALI SUROOR",1,0
StarFru1tEnterpr1se 1nc,"shes jealous  of Depp

She hates the fact people like him. She is competing with him career wise. You can see it in her face. i cant stand looking at her. she makes me want to vomit",1,0
anissa pramono,justice for jhonny depp.,1,0
سبحانك ربنا وبحمدك,"لا إله إلا الله. محمد رسول الله
No God except Allah. Muhammad is the Messenger of Allah
إنا لله وإنا إليه راجعون..سبحانك ياربنا ياعظيم ياخلاق يارحمن يارحيم ياعفو ياكريم ياحي ياقيوم  يا{.الله.}
Please Translate This Word's..
أستغفر الله العظيم الحليم الحي القيوم وأتوب إليه.
ربنا لا إله إلا أنت سبحانك سمعنا وأطعنا غفرانك ربنا وإليك المصير. سبحان الله. الحمد لله. لا إله إلا الله. الله أكبر. لا حول ولا قوة لنا إلا بالله العلي العظيم. أستغفر الله لي ولكم. حسبنا الله ونعم الوكيل. وصل على نبي الله محمد. عدد خلقه ورضا نفسه وزنة عرشه ومداد كلماته وملئ موازينه لكل المؤمنين إلى يوم الدين سبحانك ربنا آمنا بك وبعظمة سلطانك اللهم تقبل دعاء.
Please Translate English.May God Help You..",1,0
Margaret Morales,Litneyloxan I totally agree,1,0
S K,Johnny needs to be exonerated he is the victim of this malicious women she admitted the op Ed was about Johnny Depp! Amber set the whole thing up! Perjury and jail!,1,0
Horazon,Amber Heard Watched too much Gone Girl 2014.,1,0
Alex,"The whole Adam Waldman doing the bidding of JD is all circumstantial and there is no evidence to prove any of it. It’s literally just because AW is his lawyer, that’s their argument. I dunno, I just don’t buy it.",1,0
RonaldBarone,If he doesn't win  I will start to believe that 1+1 isn't equal to 2 anymore,1,2
Giselle V,"What this case means. Yeah, Amber. You are hurting all the real victims out there. You selfish b****.",1,0
Elon Musk,Iam gonna protect my Amber no matter what,0,2
A Z,I like seeing all these Facebook moms are yelling out justice for Johnny but we’re all about slandering kavanaugh who was even LESS likely then this case,0,0
Ritvik Gupta,Whose that lady sitting in front of the judge's bench a little below?,0,0
Mika Damianos,"Echoing Tolstoy, unhappy marriages so resemble each other and this one was no exception.  There was jealousy, insecurity, mental and emotional cruelty, physical violence, hints of extramarital affairs, drug and alcohol fuelled fights, the same script with altering characters.  The court proceedings have now ended while the jury begins its deliberations, a final verdict to be announced in a few short days.  But this now seems almost perfunctory, besides the point.  As Depp himself conceded at the beginning of the case:  “I’ve lost everything.  No matter the outcome of this trial, I’ve already lost,” but which can be extrapolated to so much else besides.  We have certainly lost time, both personally and collectively, a spectacular investment of legal expertise to this one specific case, resources expended and certainly massive amounts of money paid by each party fighting this out in court, attention drawn elsewhere from raging wars, environment and economic collapses, to name but a few, as we all await a final rendering that may or may not have any real significant consequence.  Perhaps this is yet another mirage, some phantasmagoria of violence and greed, of mental and emotional instability, of doomed love, but with no neat conclusions or deeper understandings as the story will undoubtedly play out at some later time with different characters, a similar narrative, as it has for ages.  Regardless of who “wins”, what might be actual vindication?  

For more analysis, please go to Meraki Passion in Print",0,0
White Dove,"Lizzie Borden,,,,,,,,,, just wait! 🪓😨
I hope she is jailed for perjury!  If not, then why not? Dangerous, evil Jezebel!

Much love & blessings, dear Johnny!",0,0
Samantha Beattie,Yu make it so I CAN HAVE CHILDERN BY SOME MEANS AND I WILL COME BACK.,0,0
frag it,The thumbnail🤣 just observing with a middle finger,0,0
Hammad Karim,"Warner bros need to use Johnny depp saying ""AQUAMAN"" in the new up coming AQUAMAN movie",0,0
Joey Anderson,"Amber doesn’t donate tears when she cries, she pledges them.",0,0
Iffy Angel,"Makes me SICK that LawandCrime are defending Amber Heard! You KNOW she was the abuser, liar and coke fiend!!!",0,0
Fati Fati,Jail for lies,0,0
Stanny Nunes,Why don’t we get a lie detector.,0,0
Troy Henry,Anyone living in fairfax county should call up the district attorney and request charges put against amber heard for perjury,0,0
Dan Holmes,You can't make a hoe a house wife,0,0
Jackie R,Ronnenborn has it out for Johnny depp.,0,0
Kathleen Weinberg,Johnny Depp and Amber Heard hope they set everything in a positive way,0,0
btsarmy1234,",hdjenvfudjsbreidjsm",0,0
btsarmy1234,Nflkfrm,0,0
Shawn J,wow you managed to dissect that with zero bias. well done,0,0
btsarmy1234,Gbkfndmfkrkdndm,0,0
P14YCR,"This is all a diversion, look how they didnt show the biggest paedo case, Ghislaine Maxwell. Which could named hollyweird Paedos government’s Paedos etc.. but made ppl watch the his nonsense 🤔 i just came to drop my comment..",0,0
btsarmy1234,Bffjfbfjfjndkddj,0,0
Victor Creed,"Lord knows why Amber hired those lawyers from Groupon. Not the best decision, especially when you're lying. 🤣",0,0
Sandra LeDoux,Johnny was fighting to stay awake the last couple of days. I'm sure he was having some sleepless nights and had to take something for anxiety . So happy he won and when he did he was amongst friends living his best  life and being adored by his fans face to face 🥰,0,0
Tony Lucci,My dog stepped on my vigina,0,0
fireworxz,Where can I find the trial videos without any commentary whatsoever?,0,0
Dorothy Lucero,Old news!,0,0
Cheryl Chaison,A real abuser would have killed her.,0,0
IYPITWL,If you did take medical treatment your finger is missing.,0,0
Alexandra Saadi,"Does anyone know why the trial was held in Virginia, rather than California, where the plaintiff and defendant live?",0,0
Andre,The only time I will hit aka slap my young wife is when there's a 🐝on her head or a 🦟,0,0
kitticat Ferrero,"I stand with JOHNNY,  say YES if you agree with me ❤️💙❤️",0,0
Samantha Rose,I don’t think either of them are victims I think they are both abusers,0,0
NostalgiaLife2021,:),0,0
Nilufer Okay,Why is the internet so biased on the Depps side? Wasn't he called her so many horrible things like drown her and  f*** her corps? How can this be justified? It's NOT NORMAL!! Doing drugs and alcohol 24/7 is NOT NORMAL!! What's wrong with you people!!,0,0
Nikki D,"Amber Heard was posturing for the Jury the entire time, Blaming her Attorneys for not producing evidence, Unable to match her face to her words. Everyone else's fault. Absolutely Ridiculous and disgusting! Elon Musk is probably trying to buy Twitter for her in case she does get found Guilty for re-tweeting the op-ed with a comment which would fall under publishing laws so she can go back and sue JD for it again",0,0
DatboiDave,"Hello everyone Just wanted to tell you all that 🌟Jesus loves us all give your life to Christ, He died for our sins repent and trust in Him alone.His return is soon God bless you all Amen🙏🏾. Have a blessed day 😁❤",0,0
4K TOHEED - 4KTD,"clickbaits , we dont want watch hrs to ur  audio, put it in tumbnail",0,0
urigotliv,She doesn't deserve to be jhonny depp's wife. she deserve more to be John E Depth's wife.,0,0
ASK  ME  IF ,Subscribed,0,0
Dr Roblox gaming 24,Jonny Depp has Won?,0,1
Nu_Merick,"What really screwed up Amber's case, besides the audio recording and photoshopped photos, was her last cross examination by camille. Camille mentioned every witness to amber and amber just denied all of those claims and says they're liars and even admitted to writting the op-ed about depp.. She's rotten to the core.",0,1
Nicholas Good,Everything I've seen I tried to be fair to Heard - I agree I think she's a liar.... I tried to be fair and I've been given no evidence of anything ultimately - I don't trust her and her acting - bite me thats everything to me,0,0
Nancy Wenn,"There is only one part of rottenborn's closing argument that cannot refer to Johnny Depp! - and that's when he refers to a 'him'.  Other than that, everything he says you can turn around and say that's Johnny.   I ask you to listen to him again, only, in your head, pretend he's Johnny's attorney.",0,0
Singh,Please put all the Johnny Depp vs Amber Heard videos in one playlist.,0,0
Gamespun,"Match in the gas tank, boom boom!",0,0
Jayeden Dunahee,Son of god here.   Sorry I’m late Johnny.   Umm ok so.   In 2022 the fact she has zero photo evidence no hidden cameras catching him hit her says he’s innocent.  It’s very easy to catch ppl on hidden cams they can be so small.  Kate says no.  And ya.  She’s a liar.  Give Johnny the money.  This is done.   Also.  Hunter says hi.&  Nice hat.  :).,0,0
Just Jordan,"I'm sorry Mr. Rottenberg what was that term you used ""Golddigger""? Can you explain that?",0,0
Sylvia T Carden,Bornrotten  knows Amber was the person with the alcohol and drug problem.  2 bottles of $500 per bottle was quite a lifestyle eh?,0,0
KerbyFab,She couldn’t even muster up one freaking tear while she was attempting to cry during her testimony. She’s a psychopath.,0,0
E R,"Dear Elon Musk, PLEASE NOTE that
for Human Trials on Mars… You can send Amber Heard there!",0,0
Xavier Velez,She needs jail time,0,0
Joseph Stearns,Amber Heard needs to be arrested for doing cocaine in the courtroom she should not get away with that b******* if that was me sitting in that courtroom and I did a line of coke I would be arrested right now,0,0
jay Roberge,"Bandages on my face and my hand from you,,, bandages, bandages, bandage-e-es!!! Hot heat for Johnny!!",0,0
Андрей Рубанов,"Держись, Джонни!",0,0
Doctor Kettleburn,Only Jedi are truly altruistic. Amber exemplifies The Dark Side. And she dresses like it.,0,0
Eddie Brahhh,Well done.  Objective. We all know she's a perjurer.  No need to tell us.,0,0
elena bucci,Go Johnny go 🇮🇹🙏❤🍀,0,0
Rowan P,"genuinely wondering, are there any amber heard supporters here, and if so, what's your reasoning? (JD supporter here, looking to understand the other side)",0,0
pas_2910,"7 million for a bit.. H... Man I'll show you the paridise with that money... Are you crazy????
I help you for free even if you wanna beat mollusk",0,0
K M,All i know is johnny gonna be deep in camille,0,0
Gemini Love,Much love to Johnny!,0,0
Niru,Elon is watching,0,0
dwrabauke,"thank you for breaking it down so detailed and easily understandable. i have followed some of the trial but didn't get all of the topics/arguments.
i am not a native english speaker and don't always understand all the legal terms. you made it much clearer, great job!",0,0
Pablo Veldin,Is it strong or shtrong?,0,1
Joanne McArthur,Amber has mental health issues.,0,0
Aries,Im curious about how after she even admitted to droppin a deuce on his bed before coachella she sat on the stand and then claimed she didnt do it? Why didnt this get brought up,0,0
